id,origin,destination,start_time,kind
0,0,0,70,Human
1,1,1,569,Human
2,2,2,1548,Human
3,3,3,850,Human
4,4,4,1175,Human
5,5,5,154,Human
6,6,6,637,Human
7,7,7,1679,Human
8,8,8,271,Human
9,9,9,131,Human
10,10,10,360,Human
11,11,11,1541,Human
12,12,12,1197,Human
13,13,13,1317,Human
14,14,5,1526,Human
15,15,5,852,Human
16,16,14,595,Human
17,17,15,1745,Human
18,18,16,257,Human
19,19,17,476,Human
20,20,18,810,Human
21,21,15,1026,Human
22,22,19,1539,Human
23,23,5,1235,Human
24,24,20,1283,Human
25,14,18,1571,Human
26,25,21,958,Human
27,26,2,853,Human
28,27,22,1518,Human
29,28,23,1411,Human
30,29,24,15,Human
31,30,12,1230,Human
32,31,22,587,Human
33,32,25,1187,Human
34,33,5,1615,Human
35,34,26,357,Human
36,18,12,1627,Human
37,35,27,1708,Human
38,27,3,1644,Human
39,36,28,1309,Human
40,37,27,1318,Human
41,18,2,466,Human
42,38,29,1605,Human
43,24,12,807,Human
44,35,15,800,Human
45,39,29,1219,Human
46,40,18,234,Human
47,41,30,1734,Human
48,17,12,981,Human
49,42,31,1027,Human
50,13,32,731,Human
51,43,9,1262,Human
52,44,33,1236,Human
53,18,9,13,Human
54,45,5,385,Human
55,46,29,188,Human
56,47,12,208,Human
57,48,34,1156,Human
58,0,35,445,Human
59,49,5,574,Human
60,13,36,1415,Human
61,36,34,1461,Human
62,36,37,1184,Human
63,50,38,1553,Human
64,51,11,1356,Human
65,52,23,1693,Human
66,53,12,1737,Human
67,54,39,1388,Human
68,55,40,589,Human
69,56,34,124,Human
70,57,41,598,Human
71,58,42,1258,Human
72,59,5,231,Human
73,49,5,1391,Human
74,13,43,1735,Human
75,60,9,1662,Human
76,61,44,400,Human
77,62,5,175,Human
78,63,44,1553,Human
79,64,29,1655,Human
80,65,44,626,Human
81,66,45,486,Human
82,67,12,1091,Human
83,54,23,191,Human
84,66,3,836,Human
85,68,46,1436,Human
86,69,47,414,Human
87,70,29,1390,Human
88,71,12,593,Human
89,72,9,117,Human
90,20,48,1026,Human
91,73,49,1440,Human
92,74,50,1424,Human
93,41,51,1790,Human
94,27,18,1027,Human
96,76,12,922,Human
97,77,34,1433,Human
98,78,44,465,Human
99,7,34,395,Human
100,79,1,583,Human
101,80,53,76,Human
102,75,54,316,Human
103,81,55,278,Human
104,82,56,356,Human
105,83,39,187,Human
106,84,10,1087,Human
107,85,29,137,Human
108,35,20,1129,Human
109,86,9,282,Human
110,87,34,487,Human
