origins,destinations,path,free_flow_time
0,0,-42762428#0 -697042776#1 623959719 619185406 619184994 1164659927#1 1164659926 120512822 -133906979 -133906980 -282479126 -100468681#8 -100468681#7 100525438#0 -101601553#1 -101601553#0 101600741#4 -100468681#2,1.9721714315675873
0,0,-42762428#0 697042776#2 42762428#1 42762428#4 1197063689 282479127#0 101611060 372606529#8 1164659929 120512822 -133906979 -133906980 -282479126 -100468681#8 -100468681#7 100525438#0 -101601553#1 -101601553#0 101600741#4 -100468681#2,2.260286677666026
0,0,-42762428#0 -697042776#1 623959719 619185406 619184994 1164659927#1 1164659926 120512822 -133906979 -133906980 -282479126 -100468681#8 -100468681#7 -100468681#6 -100468681#5 -100468681#4 -100468681#3 -100468681#2,1.485518843966672
0,35,-42762428#0 -697042776#1 623959719 -282689984#1 -282689984#0 -134065887 100475363 282479151#1 100475362 -659278038#3 -659278038#2 -659278038#1 -659278038#0 659278036#0 -416412034 659278036#2 659278036#3 -100468675#3 101599083#0 101599083#1 101599079#3 101599076#0 101599076#1 -101599076#1 -101599076#0,2.1604393953405694
0,35,-42762428#0 -697042776#1 623959719 -282689984#1 -282689984#0 -134065887 100475363 282479151#1 100475362 -659278038#3 -659278038#2 -659278038#1 -659278038#0 659278036#0 659278036#1 659278036#2 659278036#3 -100468675#3 101599083#0 101599083#1 101599079#3 101599076#0 101599076#1 -101599076#1 -101599076#0,1.9175222284738225
0,35,-42762428#0 -697042776#1 623959719 -282689984#1 -282689984#0 -134065887 100475363 282479151#1 100475362 -659278038#3 -659278038#2 -659278038#1 -659278038#0 659278036#0 -416412034 416412034 659278036#1 659278036#2 659278036#3 -100468675#3 101599083#0 101599083#1 101599079#3 101599076#0 101599076#1 -101599076#1 -101599076#0,2.6002153057047157
1,1,-1323419247 1323419246 -416373452 101418587 464265154,0.5096039711781041
1,1,-1323419247 -120511142#2 120511142#2 1323419246 -100525445 100525445 -416373452 101418587 464265154,0.9370549515702608
1,1,-1323419247 1323419247 868087112 526439431#0 526439431#1 42762429 1323419246 -416373452 101418587 464265154,1.15532225849303
1,62,-1323419247 -120511142#2 75421017 619185406 619184994 1164659927#1 1164659926 120512822 282479125#0 282479125#1,1.5109043617446978
1,62,-1323419247 -120511142#2 75421017 619185406 619184994 1164659927#1 1164659928 1164659929 120512822 282479125#0 282479125#1,1.5222288915566224
1,62,-1323419247 -120511142#2 -120511142#1 120511142#1 75421017 -282689984#1 282689984#1 619185406 619184994 1164659927#1 1164659926 120512822 282479125#0 282479125#1,1.5908494571334653
2,2,71324347#2 71324347#3 71324347#4 71324347#5 47374666 659281081#0 659281081#1 100525445 -416373452 416373452,1.3160584901227974
2,2,71324347#2 71324347#3 71324347#4 71324347#5 -47374665#1 47374665#0 47374666 659281081#0 659281081#1 100525445 -416373452 416373452,3.0472335500748353
2,2,71324347#2 71324347#3 71324347#4 71324347#5 47374666 -42762427 42762427 659281081#0 659281081#1 100525445 -416373452 416373452,1.4227811791984277
3,3,-100525445 100525445 -416373452 -101418584#4 -101418584#3 -101418584#2 -101418592 -100488715#3 101605951#0 101605951#1 -101606546 101606547#1,1.1885443738330466
3,3,-100525445 100525445 184568063 76867740 1323419243 -162276533#2 100488715#0 100488715#1 100488715#2 101605951#0 101605951#1 -101606546 101606547#1,2.4360866736903546
3,3,-100525445 100525445 -416373452 101418587 -101418587 -101418584#4 -101418584#3 -101418584#2 -101418592 -100488715#3 101605951#0 101605951#1 -101606546 101606547#1,1.233972739563788
4,4,-282689981#0 101411570 282689981#1 352797377 -352797377,1.331294043895456
4,4,-282689981#0 -679068326#3 679068326#3 101411570 282689981#1 352797377 -352797377,1.8893372611823709
4,4,-282689981#0 101411570 282689981#1 -120511301 120511301 352797377 -352797377,2.249561350818225
5,5,-101607967#0 101607962 -101607966#1 -101607966#0 101607969#1 -100468681#3 -100468681#2 -100468681#1 -100468681#0,1.0731723358889993
5,5,-101607967#0 101607962 101607963 -659279347 101607969#0 101607969#1 -100468681#3 -100468681#2 -100468681#1 -100468681#0,1.1523395679366057
5,5,-101607967#0 101607962 -101607966#1 101607966#1 101607963 -659279347 101607969#0 101607969#1 -100468681#3 -100468681#2 -100468681#1 -100468681#0,1.3265896279318063
6,6,-101594809#0 -101594836#0 372606529#2 372606529#3 372606529#4 372606529#5 372606529#6 372606529#7 372606529#8 1164659929 120512822 282479125#0 282479125#1 120511930 -42762428#0 -697042776#1 42762429 1323419246 184568063 76867740 1323419243 120511145 283490977#1 -173532317#3 -173532317#2 -173532317#1 -101765339#6 -101765339#5 -101765339#4 -101765339#3 101786554#0 -101787493,4.6225652247940205
6,6,-101594809#0 -101594836#0 372606529#2 372606529#3 372606529#4 372606529#5 372606529#6 372606529#7 372606529#8 1164659929 120512822 282479125#0 282479125#1 120511930 -42762428#0 -697042776#1 42762429 1323419246 184568063 76867740 1323419243 120511145 283490977#1 -173532317#3 -101786553#2 -101786553#1 -101786553#0 -101786554#3 -101786554#2 -101786554#1 -101787493,4.56107047570648
6,6,-101594809#0 -101594836#0 372606529#2 372606529#3 372606529#4 372606529#5 372606529#6 372606529#7 372606529#8 1164659929 120512822 282479125#0 282479125#1 120511930 -42762428#0 -697042776#1 42762429 1323419246 184568063 1323419245 16648700 1323419243 -162276533#2 162276533#2 120511145 283490977#1 -173532317#3 -101786553#2 -101786553#1 -101786553#0 -101786554#3 -101786554#2 -101786554#1 -101787493,5.329269087044466
7,7,-659278038#3 659278038#3 100475365#0 100475365#1 282479151#3 282479151#4 100488713 -100488715#7 -100488715#6 -100488715#5 -100488715#4 -100488715#3 -100488715#2 -100488715#1 -100488715#0 162276533#2 120511145 283490977#1 -173532317#3 -173532317#2 -173532317#1 -173532317#0 47374679#0 101754278#0 101754278#1 -101752975#2 -101752975#1,3.6771475040700214
7,7,-659278038#3 659278038#3 100475365#0 100475365#1 282479151#3 282479151#4 100488713 -100488715#7 -101605219 -100488715#5 -100488715#4 -100488715#3 -100488715#2 -100488715#1 -100488715#0 162276533#2 120511145 283490977#1 -173532317#3 -173532317#2 -173532317#1 -173532317#0 47374679#0 101754278#0 101754278#1 -101752975#2 -101752975#1,3.782248983106561
