episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,92.97999999999999,
210,0,306,91.91,
215,0,317,92.69999999999999,
220,0,301,91.53,
225,0,312,94.41,
230,0,314,92.71000000000001,
235,0,310,93.61999999999999,
240,0,312,94.48,
245,0,318,91.58999999999999,
250,0,319,93.5,
255,0,324,93.94,
260,0,314,92.16999999999999,
265,0,310,94.94,
270,0,307,93.35000000000001,
275,0,315,92.34,
280,0,314,95.00999999999999,
285,0,305,94.85000000000001,
290,0,301,92.89,
295,0,301,91.3,
300,0,305,93.96,
305,0,319,93.47999999999999,
310,0,309,91.24000000000001,
315,0,294,91.64999999999999,
320,0,307,152.26999999999998,
325,0,319,93.19,
330,0,329,94.55999999999999,
335,0,309,95.11,
340,0,307,93.25,
345,0,307,94.63,
350,0,323,93.44,
355,0,313,91.83,
360,0,301,93.24000000000001,
365,0,315,92.85000000000001,
370,0,316,94.17,
375,0,309,160.51999999999998,
380,0,302,93.38,
385,0,312,91.8,
390,0,310,92.5,
395,0,300,93.68,
400,0,315,94.14999999999999,
405,0,309,92.84,
410,0,304,94.35,
415,0,319,93.34,
420,0,310,92.64,
425,0,318,92.29,
430,0,312,92.21000000000001,
435,0,311,93.53,
440,0,324,95.23,
445,0,303,94.23,
450,0,308,91.81,
455,0,322,93.48,
460,0,290,93.61,
465,0,309,92.72999999999999,
470,0,312,94.04,
475,0,313,92.48,
480,0,304,92.17,
485,0,312,92.86999999999999,
490,0,315,94.23,
495,0,317,93.35,
500,0,302,92.13000000000001,
505,0,304,93.23,
510,0,317,94.71000000000001,
515,0,304,92.76,
520,0,305,91.89,
525,0,315,92.4,
530,0,319,92.31,
535,0,302,92.97000000000001,
540,0,308,92.92,
545,0,323,92.25999999999999,
550,0,301,92.22,
555,0,305,92.35,
560,0,323,90.86999999999999,
565,0,295,93.47000000000001,
570,0,323,93.09,
575,0,321,91.79,
580,0,317,91.5,
585,0,323,92.78999999999999,
590,0,300,91.49,
595,0,310,93.78,
600,0,301,92.17,
605,0,312,92.66,
610,0,309,92.05,
615,0,306,91.8,
620,0,295,93.78999999999999,
625,0,319,94.05,
630,0,317,91.58,
635,0,299,91.33,
640,0,302,94.25,
645,0,297,92.92,
650,0,307,93.01,
655,0,313,94.07,
660,0,315,91.9,
665,0,325,93.02,
670,0,291,93.67,
675,0,298,93.08,
680,0,304,94.36,
685,0,318,94.19999999999999,
690,0,293,92.39999999999999,
695,0,294,93.58,
700,0,306,93.68,
705,0,278,92.36,
710,0,0,92.36,
715,0,0,92.36,
720,0,0,92.36,
725,0,0,92.36,
730,0,0,92.36,
735,0,0,92.36,
740,0,0,92.36,
745,0,0,92.36,
750,0,0,92.36,
755,0,0,92.36,
760,0,0,92.36,
765,0,0,92.36,
770,0,0,92.36,
775,0,0,92.36,
780,0,0,92.36,
785,0,0,92.36,
790,0,0,92.36,
795,0,0,92.36,
800,0,0,92.36,
