episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,92.49,
210,0,313,92.87,
215,0,289,92.14,
220,0,321,92.5,
225,0,305,92.55,
230,0,312,92.75,
235,0,307,93.1,
240,0,300,94.8,
245,0,311,92.16,
250,0,320,91.98,
255,0,303,92.01,
260,0,313,93.69,
265,0,310,92.41,
270,0,311,92.23,
275,0,312,93.71000000000001,
280,0,316,92.91,
285,0,316,92.42999999999999,
290,0,302,92.81,
295,0,305,92.85000000000001,
300,0,312,90.57,
305,0,300,93.09,
310,0,322,93.44,
315,0,334,93.49000000000001,
320,0,318,91.38000000000001,
325,0,308,94.97,
330,0,316,92.22,
335,0,316,92.61,
340,0,301,92.8,
345,0,318,92.32,
350,0,311,93.54,
355,0,313,90.49,
360,0,303,92.87,
365,0,293,93.07000000000001,
370,0,324,93.19,
375,0,304,92.39999999999999,
380,0,304,91.85,
385,0,292,92.92,
390,0,302,93.52000000000001,
395,0,313,93.17,
400,0,299,92.57000000000001,
405,0,310,92.14,
410,0,298,92.33999999999999,
415,0,305,93.5,
420,0,306,93.72,
425,0,319,90.61,
430,0,307,91.69,
435,0,304,92.16000000000001,
440,0,302,92.86999999999999,
445,0,305,92.5,
450,0,308,92.68,
455,0,310,92.35,
460,0,318,92.9,
465,0,307,93.64999999999999,
470,0,304,92.77,
475,0,312,92.16000000000001,
480,0,286,92.2,
485,0,291,92.63,
490,0,289,91.86,
495,0,289,90.62,
500,0,305,93.30000000000001,
505,0,286,92.14,
510,0,286,92.6,
515,0,305,94.49000000000001,
520,0,292,92.48,
525,0,283,94.36,
530,0,299,91.61,
535,0,292,91.28,
540,0,280,91.93,
545,0,291,92.13,
550,0,296,91.67,
555,0,284,92.23,
560,0,272,92.6,
565,0,295,93.49,
570,0,287,91.72,
575,0,296,92.4,
580,0,291,92.73,
585,0,284,91.85,
590,0,289,92.92,
595,0,280,92.4,
600,0,275,94.14,
605,0,285,94.31,
610,0,282,94.08,
615,0,296,92.28,
620,0,296,94.3,
625,0,297,94.42,
630,0,293,93.3,
635,0,288,93.28,
640,0,279,94.54,
645,0,286,93.72,
650,0,285,92.5,
655,0,268,92.09,
660,0,286,91.15,
665,0,282,93.69,
670,0,272,92.32,
675,0,260,93.22999999999999,
680,0,272,93.73,
685,0,261,91.6,
690,0,283,92.22,
695,0,281,92.19,
700,0,264,92.93,
705,0,217,95.42,
710,0,0,95.42,
715,0,0,95.42,
720,0,0,95.42,
725,0,0,95.42,
730,0,0,95.42,
735,0,0,95.42,
740,0,0,95.42,
745,0,0,95.42,
750,0,0,95.42,
755,0,0,95.42,
760,0,0,95.42,
765,0,0,95.42,
770,0,0,95.42,
775,0,0,95.42,
780,0,0,95.42,
785,0,0,95.42,
790,0,0,95.42,
795,0,0,95.42,
800,0,0,95.42,
