episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,89.24,
210,0,330,92.71,
215,0,328,94.19,
220,0,311,94.37,
225,0,318,92.99,
230,0,295,93.38,
235,0,317,91.02000000000001,
240,0,314,91.86999999999999,
245,0,289,91.96,
250,0,309,92.41999999999999,
255,0,309,93.35,
260,0,299,91.35000000000001,
265,0,307,94.75,
270,0,302,91.09,
275,0,296,90.96000000000001,
280,0,304,89.8,
285,0,301,90.45,
290,0,299,91.46,
295,0,309,93.99,
300,0,306,90.16,
305,0,270,91.03999999999999,
310,0,289,91.42,
315,0,274,91.98,
320,0,274,91.76,
325,0,286,90.66,
330,0,284,90.72999999999999,
335,0,288,90.25,
340,0,279,89.27000000000001,
345,0,282,91.23,
350,0,286,89.99000000000001,
355,0,300,90.87,
360,0,269,90.42999999999999,
365,0,279,91.42,
370,0,287,90.14,
375,0,280,90.75,
380,0,283,90.17999999999999,
385,0,276,92.02000000000001,
390,0,257,90.44999999999999,
395,0,271,89.86,
400,0,279,90.47,
405,0,280,89.69,
410,0,255,89.30000000000001,
415,0,266,89.21,
420,0,259,90.67999999999999,
425,0,256,90.88,
430,0,257,89.85,
435,0,266,88.75999999999999,
440,0,265,89.51,
445,0,265,89.12,
450,0,257,88.94,
455,0,266,90.12,
460,0,261,92.62,
465,0,267,91.17,
470,0,249,91.95,
475,0,250,90.76,
480,0,253,91.11,
485,0,250,89.19,
490,0,241,90.89,
495,0,249,91.29,
500,0,243,89.31,
505,0,247,89.28,
510,0,245,88.05,
515,0,240,89.38,
520,0,246,91.7,
525,0,250,89.06,
530,0,246,88.62,
535,0,243,87.95,
540,0,251,89.94000000000001,
545,0,257,88.78,
550,0,252,90.39999999999999,
555,0,239,89.46,
560,0,248,89.91,
565,0,247,90.91,
570,0,231,88.62,
575,0,235,90.83,
580,0,263,89.29,
585,0,244,88.58,
590,0,243,90.21,
595,0,238,91.42999999999999,
600,0,241,89.0,
605,0,233,91.35000000000001,
610,0,59,88.43,
615,0,74,88.78,
620,0,85,89.13,
625,0,78,89.05000000000001,
630,0,77,88.79,
635,0,70,89.74000000000001,
640,0,61,88.61999999999999,
645,0,66,88.73,
650,0,68,88.92999999999999,
655,0,70,88.64999999999999,
660,0,71,90.14,
665,0,66,89.52000000000001,
670,0,59,88.72999999999999,
675,0,64,89.63,
680,0,67,88.95,
685,0,62,88.77,
690,0,80,89.12,
695,0,57,89.48,
700,0,68,88.83,
